date,source,server,low,q1,md,q3,high
2025-09-28,op-hk8a-conflux,onion,470,670,760,890,1220
2025-09-28,op-us8a,onion,240,340,390,470,660
2025-09-28,op-us8a-conflux,onion,230,330,390,490,730
2025-09-29,op-de8a,onion,80,190,255,350,590
2025-09-29,op-de8a-conflux,onion,80,180,230,310,500
2025-09-29,op-hk8a,onion,490,715,820,940,1250
2025-09-29,op-hk8a-conflux,onion,480,700,790,910,1220
2025-09-29,op-us8a,onion,260,360,410,490,680
2025-09-29,op-us8a-conflux,onion,240,340,400,490,710
2025-09-30,op-de8a,onion,90,180,220,290,450
2025-09-30,op-de8a-conflux,onion,90,160,210,280,450
2025-09-30,op-hk8a,onion,480,660,740,830,1080
2025-09-30,op-hk8a-conflux,onion,450,650,730,850,1150
2025-09-30,op-us8a,onion,250,340,390,490,710
2025-09-30,op-us8a-conflux,onion,240,330,390,490,730
2025-10-01,op-de8a,onion,80,170,220,320,540
2025-10-01,op-de8a-conflux,onion,70,150,190,270,450
2025-10-01,op-hk8a,onion,470,650,740,830,1100
2025-10-01,op-hk8a-conflux,onion,480,630,690,770,980
2025-10-01,op-us8a,onion,270,350,410,510,750
2025-10-01,op-us8a-conflux,onion,200,320,370,450,640
2025-10-02,op-de8a,onion,80,160,200,280,450
2025-10-02,op-de8a-conflux,onion,90,150,200,270,450
2025-10-02,op-hk8a,onion,500,640,730,835,1090
2025-10-02,op-hk8a-conflux,onion,430,600,670,780,1050
2025-10-02,op-us8a,onion,240,350,400,510,750
2025-10-02,op-us8a-conflux,onion,230,320,370,450,640
2025-10-03,op-de8a,onion,80,150,200,280,470
2025-10-03,op-de8a-conflux,onion,80,160,190,250,380
2025-10-03,op-hk8a,onion,480,650,720,840,1120
2025-10-03,op-hk8a-conflux,onion,470,580,640,750,1000
2025-10-03,op-us8a,onion,250,340,390,470,650
2025-10-03,op-us8a-conflux,onion,240,320,350,420,570
2025-10-04,op-de8a,onion,70,150,200,310,550
2025-10-04,op-de8a-conflux,onion,70,170,220,300,490
2025-10-04,op-hk8a,onion,480,610,670,780,1010
2025-10-04,op-hk8a-conflux,onion,430,580,650,740,980
2025-10-04,op-us8a,onion,250,350,400,460,620
2025-10-04,op-us8a-conflux,onion,220,320,350,420,570
2025-10-05,op-de8a,onion,70,140,190,300,540
2025-10-05,op-de8a-conflux,onion,90,170,220,300,490
2025-10-05,op-hk8a,onion,420,590,640,750,990
2025-10-05,op-hk8a-conflux,onion,470,570,630,700,890
2025-10-05,op-us8a,onion,250,345,400,470,640
2025-10-05,op-us8a-conflux,onion,240,300,340,410,570
2025-10-06,op-de8a,onion,60,150,210,330,590
2025-10-06,op-de8a-conflux,onion,70,160,200,267,420
2025-10-06,op-hk8a,onion,440,600,665,750,970
2025-10-06,op-hk8a-conflux,onion,460,580,635,720,930
2025-10-06,op-us8a,onion,240,340,390,470,660
2025-10-06,op-us8a-conflux,onion,220,320,370,450,640
2025-10-07,op-de8a,onion,50,150,200,300,520
2025-10-07,op-de8a-conflux,onion,80,170,220,310,520
2025-10-07,op-hk8a,onion,420,630,700,780,1000
2025-10-07,op-hk8a-conflux,onion,460,572,650,740,990
2025-10-07,op-us8a,onion,230,340,390,460,630
2025-10-07,op-us8a-conflux,onion,230,320,370,440,620
2025-10-08,op-de8a,onion,50,170,240,320,540
2025-10-08,op-de8a-conflux,onion,90,140,180,250,410
2025-10-08,op-hk8a,onion,440,590,670,770,1020
2025-10-08,op-hk8a-conflux,onion,470,590,640,730,940
2025-10-08,op-us8a,onion,240,340,380,460,630
2025-10-08,op-us8a-conflux,onion,240,320,370,440,620
2025-10-09,op-de8a,onion,70,150,190,250,400
2025-10-09,op-de8a-conflux,onion,60,150,190,270,450
2025-10-09,op-hk8a,onion,480,610,670,800,1070
2025-10-09,op-hk8a-conflux,onion,460,560,640,720,960
2025-10-09,op-us8a,onion,250,330,385,470,680
2025-10-09,op-us8a-conflux,onion,220,320,370,430,590
2025-10-10,op-de8a,onion,70,170,210,280,440
2025-10-10,op-de8a-conflux,onion,70,140,180,260,440
2025-10-10,op-hk8a,onion,470,600,690,790,1070
2025-10-10,op-hk8a-conflux,onion,470,580,660,760,1030
2025-10-10,op-us8a,onion,240,330,390,462,660
2025-10-10,op-us8a-conflux,onion,230,330,370,430,580
2025-10-11,op-de8a,onion,70,150,190,270,450
2025-10-11,op-de8a-conflux,onion,70,140,180,270,460
2025-10-11,op-hk8a,onion,440,600,650,740,950
2025-10-11,op-hk8a-conflux,onion,450,590,660,750,990
2025-10-11,op-us8a,onion,240,330,390,470,680
2025-10-11,op-us8a-conflux,onion,240,330,370,450,630
2025-10-12,op-de8a,onion,70,150,200,270,450
2025-10-12,op-de8a-conflux,onion,60,150,220,320,570
2025-10-12,op-hk8a,onion,440,600,660,760,1000
2025-10-12,op-hk8a-conflux,onion,440,590,670,770,1040
2025-10-12,op-us8a,onion,240,340,390,460,640
2025-10-12,op-us8a-conflux,onion,230,320,360,430,590
2025-10-13,op-de8a,onion,70,150,190,250,400
2025-10-13,op-de8a-conflux,onion,80,150,200,290,500
2025-10-13,op-hk8a,onion,470,600,690,810,1120
2025-10-13,op-hk8a-conflux,onion,460,590,650,750,990
2025-10-13,op-us8a,onion,260,360,410,490,680
2025-10-13,op-us8a-conflux,onion,250,340,380,460,640
2025-10-14,op-de8a,onion,70,140,170,220,340
2025-10-14,op-de8a-conflux,onion,80,150,190,260,420
2025-10-14,op-hk8a,onion,480,620,680,780,980
2025-10-14,op-hk8a-conflux,onion,450,590,650,720,910
2025-10-14,op-us8a,onion,250,340,410,500,740
2025-10-14,op-us8a-conflux,onion,250,320,370,450,630
2025-10-15,op-de8a,onion,70,150,190,260,420
2025-10-15,op-de8a-conflux,onion,90,160,200,290,470
2025-10-15,op-hk8a,onion,470,640,720,800,1040
2025-10-15,op-hk8a-conflux,onion,480,600,660,755,980
2025-10-15,op-us8a,onion,250,390,460,540,750
2025-10-15,op-us8a-conflux,onion,240,340,380,460,640
2025-10-16,op-de8a,onion,80,160,200,270,430
2025-10-16,op-de8a-conflux,onion,70,160,210,290,480
2025-10-16,op-hk8a,onion,480,630,710,820,1100
2025-10-16,op-hk8a-conflux,onion,440,590,660,750,990
2025-10-16,op-us8a,onion,290,380,460,560,830
2025-10-16,op-us8a-conflux,onion,250,330,390,470,680
2025-10-17,op-de8a,onion,70,170,250,410,770
2025-10-17,op-de8a-conflux,onion,70,180,310,470,900
2025-10-17,op-hk8a,onion,460,670,770,930,1320
2025-10-17,op-hk8a-conflux,onion,460,630,760,920,1340
2025-10-17,op-us8a,onion,240,390,520,750,1290
2025-10-17,op-us8a-conflux,onion,250,350,450,610,1000
2025-10-18,op-de8a,onion,120,270,370,510,870
2025-10-18,op-de8a-conflux,onion,140,270,370,500,840
2025-10-18,op-hk8a,onion,570,740,860,1010,1380
2025-10-18,op-hk8a-conflux,onion,560,740,840,1000,1390
2025-10-18,op-us8a,onion,310,490,625,790,1220
2025-10-18,op-us8a-conflux,onion,290,480,580,740,1130
2025-10-19,op-de8a,onion,80,190,240,340,550
2025-10-19,op-de8a-conflux,onion,80,180,230,320,520
2025-10-19,op-hk8a,onion,520,660,740,830,1080
2025-10-19,op-hk8a-conflux,onion,470,630,710,810,1060
2025-10-19,op-us8a,onion,250,380,450,540,770
2025-10-19,op-us8a-conflux,onion,280,390,460,550,790
2025-10-20,op-de8a,onion,80,150,180,250,400
2025-10-20,op-de8a-conflux,onion,60,150,180,230,350
2025-10-20,op-hk8a,onion,500,640,720,810,1060
2025-10-20,op-hk8a-conflux,onion,460,610,680,780,1030
2025-10-20,op-us8a,onion,250,330,370,447,620
2025-10-20,op-us8a-conflux,onion,260,350,400,470,650
2025-10-21,op-de8a,onion,70,130,160,220,350
2025-10-21,op-de8a-conflux,onion,60,140,190,280,480
2025-10-21,op-hk8a,onion,430,590,670,780,1050
2025-10-21,op-hk8a-conflux,onion,480,610,680,825,1140
2025-10-21,op-us8a,onion,230,320,370,460,670
2025-10-21,op-us8a-conflux,onion,230,330,370,430,580
2025-10-22,op-de8a,onion,70,120,160,200,320
2025-10-22,op-de8a-conflux,onion,60,150,200,310,550
2025-10-22,op-hk8a,onion,460,590,670,770,1040
2025-10-22,op-hk8a-conflux,onion,470,607,680,820,1130
2025-10-22,op-us8a,onion,230,320,360,450,630
2025-10-22,op-us8a-conflux,onion,230,320,360,430,590
2025-10-23,op-de8a,onion,60,120,150,190,290
2025-10-23,op-de8a-conflux,onion,60,130,180,280,500
